claim_id,topic,claim_text,source_id,source_type,publication_date,evidence_strength,scope,evaluation_protocol,evaluation_type,exact_wording,customer_site_status,attempt_denominator,runtime_window,robot_count,adaptation_cost,robot_data_requirement,human_intervention,external_corroboration,independent_verification,unknowns,recommended_wording,claim_importance,verification_risk,fix_priority
DYN-C053,Customer throughput,"Monster Laundry's owners say a Dyna robot folded more than 200,000 items from 10 clients over three months.",DYN-S013,Official Company / Marketing,2025-10-14,Moderate,One named laundromat deployment,Named testimonial hosted by Dyna,Dyna-hosted named-customer testimonial,"more than 200,000 items from 10 clients over three months",Company-described customer site,"200,000+ items reported; underlying attempt count unknown",Three-month case-study period; operating hours Unknown,Unknown,Small amount of customized data; exact effort unknown,Customer-specific data,Attendants load and retrieve batches,Named Customer,No,Exact item definition; operating hours; rejects; maintenance; source logs,A named Dyna-hosted customer case reports 200k+ folded items over three months; it is not an independent audit.,High,High,P0
DYN-C054,Customer quality,Monster Laundry case reports a 99% quality acceptance rate.,DYN-S013,Official Company / Marketing,2025-10-14,Moderate,One named laundromat,Customer acceptance metric; denominator and audit method undisclosed,Dyna-hosted named-customer testimonial,99% quality acceptance rate,Company-described customer site,Unknown,Three-month case-study period; operating hours Unknown,Unknown,Customized data required,Small amount claimed,Attendant workflow integration,Named Customer,No,Acceptance definition; rater; rework; number of attempts,"The named customer case reports 99% acceptance, with no public audit protocol.",High,High,P0
DYN-C055,Business model,The Monster Laundry case describes Dyna as a Robots-as-a-Service subscription without significant upfront capex.,DYN-S013,Official Company / Marketing,2025-10-14,Moderate,One customer,Case-study description,Dyna-hosted named-customer testimonial,Not transcribed,Company-described customer site,Not applicable,Not applicable,Not applicable,Commercial terms undisclosed,Customized data,Customer attendants remain in workflow,Named Customer,No,Price; term; support; maintenance; gross margin,Dyna appears to offer RaaS in at least one customer deployment; economics are undisclosed.,Low,Medium,P2
DYN-C056,Durability,Dyna reports its longest-running deployment had about 10 months of daily use as of May 2026.,DYN-S012,Official Company Technical Post,2026-05-20,Moderate,One longest-running deployment,Founder retrospective,Official company statement,about 10 months of daily use,Company-described customer site,Not applicable,About 10 months of daily use; daily hours Unknown,Unknown,Unknown,Production feedback data,Ongoing support implied,None,No,Daily hours; uptime; interventions; maintenance; customer identity,Dyna reports one deployment with ~10 months of daily use; runtime and uptime statistics are not public.,High,High,P1
DYN-C057,Deployment cost,Dyna says moving from sale to reliable operation without its team took weeks to months of on-site engineering and transferred poorly to later customers.,DYN-S012,Official Company Technical Post,2026-05-20,Strong,Early deployments through May 2026,Candid founder retrospective,Official company statement,weeks to months of on-site engineering,Company-described customer site,Not applicable,Not applicable,Not applicable,Weeks to months of on-site engineering,Deployment-specific data implied,Dyna team heavily involved during ramp,None,No,Labor hours; task/site breakdown; current improvement,Dyna's own retrospective materially qualifies its earlier out-of-box and zero-custom-engineering messaging.,High,Medium,P1
DYN-C058,Deployment scaling,"Dyna says it had not yet made each deployment reliably faster than the previous one and that no industry participant had demonstrated this at scale, including Dyna.",DYN-S012,Official Company Technical Post,2026-05-20,Moderate,Company experience and founder industry view,Qualitative retrospective,Official company statement,Not transcribed,Company-described customer site,Not applicable,Not applicable,Not applicable,High and not yet compounding,Deployment-specific,Substantial engineering,None,No,Deployment count; comparative data; peer evidence,"As of May 2026, Dyna explicitly said repeatable deployment scaling remained unsolved for the company.",High,Medium,P1
DYN-C059,Funding,Dyna raised a $120 million round at a valuation above $600 million in September 2025.,DYN-S014,Third Party Reporting,2025-09-15,Strong,Series A financing,Bloomberg reporting,Independent third-party reporting,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Independent Reporting,Yes,Pre-money versus post-money valuation not stated in accessible report,Bloomberg reported a $120M round valuing Dyna above $600M.,Medium,Low,P2
DYN-C060,Founders,"Dyna was founded by Lindon Gao, York Yang, and Jason Ma; Gao and Yang previously built Caper AI, while Ma worked on robot foundation models and reinforcement learning.",DYN-S011,Official Company / Marketing,2025-09-15,Moderate,Founder history,Company release; research profile corroborates Ma's work,Official company statement,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Partial,Exact legal founding date; employee count at cutoff,"Dyna identifies Gao, Yang, and Ma as founders; their prior startup and research histories are documented in company and researcher sources.",Low,Low,P2
DYN-C061,DYNA-1i seen benchmark,"In a company-run 30-minute continuous seen-office evaluation, DYNA-1i folded 22 shirts at reported throughput of about 40 shirts/hour and average quality about grade 3+.",DYN-S004,Official Company Technical Post,2025-10-15,Moderate,Seen office laundry-folding condition,One disclosed 30-minute continuous evaluation window,Company-run quantitative evaluation,Seen (Office): 30 min; 22 shirts; about 40/hr; average quality about grade 3+,Not applicable,One disclosed 30-minute continuous trial; repeat count Unknown,30 minutes,One robot per disclosed evaluation window; number of repeated stations Unknown,Tens of hours of office post-training data across a handful of stations; exact allocation Unknown,Office-collected robot post-training data,Company describes consecutive folding without failure; supervision and reset policy Unknown,None,No,Independent repeats; confidence interval; full failure log; shirt distribution; exact quality rubric; robot count,"Dyna reports 22 shirts in one 30-minute seen-office internal benchmark, about 40/hour at average quality around grade 3+; repeats were not disclosed.",High,High,P0
DYN-C062,DYNA-1i unseen benchmark,"In a company-run 30-minute continuous combined unseen Lobby / Parking / CoRL evaluation, DYNA-1i folded 20 shirts at reported throughput of about 40 shirts/hour and average quality about grade 3+.",DYN-S004,Official Company Technical Post,2025-10-15,Moderate,Combined unseen Lobby / Parking / CoRL laundry-folding condition,One disclosed 30-minute continuous evaluation window,Company-run quantitative evaluation,Unseen (Lobby / Parking / CoRL): 30 min; 20 shirts; about 40/hr; average quality about grade 3+,Not applicable,One disclosed 30-minute continuous trial; repeat count Unknown,30 minutes,One robot per disclosed evaluation window; number of repeated stations Unknown,No target-environment training claimed; tens of hours of office post-training data,Office-collected robot post-training data,Company describes consecutive folding without failure; supervision and reset policy Unknown,None,No,How time was divided across the three named environments; independent repeats; confidence interval; failures; shirt distribution; exact quality rubric,"Dyna reports 20 shirts in one combined 30-minute unseen-condition internal benchmark, about 40/hour at average quality around grade 3+; the per-environment breakdown and repeats are undisclosed.",High,High,P0
DYN-C063,DYNA-1i protocol,The DYNA-1i benchmark defines a trial as a 30-minute continuous window and counts shirts folded consecutively without failure.,DYN-S004,Official Company Technical Post,2025-10-15,Strong,Seen and combined unseen laundry-folding benchmark,Company-defined 30-minute continuous trial,Company-run quantitative evaluation,30-minute continuous trials,Not applicable,Two disclosed condition rows; repeat count Unknown,30 minutes per disclosed condition,One robot per disclosed evaluation window; number of repeated stations Unknown,Not applicable to metric definition,Not applicable,Failure and intervention accounting beyond the phrase without failure is not disclosed,None,No,Repeat count; stopping rule after failure; whether retries occur inside a window; full logs,The company defines each disclosed DYNA-1i evaluation row as a 30-minute continuous trial; it does not publish independent repeats or uncertainty.,High,Low,P2
DYN-C064,System architecture,Dyna's homepage labels DYNA-VLM as System 2 for high-level agentic reasoning.,DYN-S001,Official Company / Marketing,Undated,Moderate,Current public system diagram,No evaluation; architecture label,Official architecture or method disclosure,DYNA-VLM — High-level agentic reasoning,Not applicable,Not applicable,Not applicable,Not applicable,Unknown,Unknown,Not applicable,None,No,Model architecture; interfaces; planning horizon; evaluation; production status,Dyna currently positions DYNA-VLM as its high-level reasoning layer; implementation and evaluation details are not public.,High,Low,P2
DYN-C065,System architecture,Dyna's homepage labels DYNA-2 as System 1 for mid-level task dexterity.,DYN-S001,Official Company / Marketing,Undated,Moderate,Current public system diagram,No evaluation; architecture label,Official architecture or method disclosure,DYNA-2 — Mid-level task dexterity,Not applicable,Not applicable,Not applicable,Not applicable,Task-specific robot post-training is disclosed for the scientific suite,Task-specific robot data for reported physical policies,Not applicable,None,No,Runtime interface to DYNA-VLM and System0; which production behaviors use this exact stack,Dyna currently positions DYNA-2 as a mid-level dexterity layer; whole-system task success should not be attributed to DYNA-2 alone.,High,Low,P2
DYN-C066,System architecture,Dyna's homepage labels DYNA-System0 as System 0 for low-level whole-body control.,DYN-S001,Official Company / Marketing,Undated,Moderate,Current public system diagram,No evaluation; architecture label,Official architecture or method disclosure,DYNA-System0 — Low-level whole-body control,Not applicable,Not applicable,Not applicable,Not applicable,Unknown,Unknown,Not applicable,None,No,Controller architecture; frequency; safety envelope; training data; interfaces; benchmark,Dyna currently positions DYNA-System0 as low-level whole-body control; the module is not technically disclosed.,High,Low,P2
DYN-C067,System architecture,"Dyna's homepage labels DYNA-SAUR as the embodiment and sensing layer with vision, tactile, and proprioception.",DYN-S001,Official Company / Marketing,Undated,Moderate,Current public system diagram,No evaluation; embodiment and sensing label,Official architecture or method disclosure,"DYNA-SAUR — Vision, tactile, proprioception",Not applicable,Not applicable,Not applicable,Not applicable,Unknown,Unknown,Not applicable,None,No,Hardware specification; sensor models; calibration; force limits; production configuration,Dyna currently presents DYNA-SAUR as the embodiment and sensing platform; public hardware and safety specifications remain incomplete.,High,Low,P2
DYN-C068,Marketing / adaptation,"Dyna's corrected DYNA-2 press release describes the bottle-cap example as using 13 minutes of data, while the technical report summarizes it as roughly 10 minutes of robot demonstrations.",DYN-S033,Official Company / Marketing,2026-08-10,Moderate,One dexterous-hand bottle-cap example,Press-release wording cross-checked against technical-report wording,Marketing wording without disclosed protocol,13 minutes of data,Not applicable,10 trials per checkpoint under the technical-report protocol,Not applicable,Not applicable,13 minutes in press release; roughly 10 minutes in technical report,Task-specific robot demonstrations,Unknown,None,No,"Whether 13 minutes is exact collected, accepted, or rounded duration; reason for wording difference",Use 13 minutes when citing the corrected press release and roughly 10 minutes when citing the technical report; do not silently treat them as identical precision.,High,High,P0
DYN-C069,Marketing / evaluation scope,"Dyna's earlier DYNA-2 press release describes 15 benchmark tasks, while the later and more detailed technical report defines and enumerates a 14-task physical evaluation suite.",DYN-S033,Official Company / Marketing,2026-08-10,Moderate,Source-version comparison of DYNA-2 physical evaluation task count,Press-release wording cross-checked against the later technical report,Marketing wording without complete task definition,15 benchmark tasks,Not applicable,Technical report: 10 trials per task and 12 for language following,Not applicable,Three embodiment classes in the technical report; physical unit count Unknown,Task-specific post-training in the technical report,Task-specific robot demonstrations required for the 14-task physical suite,Unknown,None,No,"Reason for the task-count change; whether a task was removed, merged, renamed, or counted differently",Treat this as a source-version discrepancy: use the later technical report's enumerated 14-task physical suite for scientific analysis and retain the earlier 15-task press-release wording only as historical source wording.,High,High,P0
